Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","116","Cambodia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","16486.54","X","Figure from international organizations"
"FBS","Food Balances (2010-)","360","Indonesia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","270625.57","X","Figure from international organizations"
"FBS","Food Balances (2010-)","418","Lao People's Democratic Republic","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","7169.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","458","Malaysia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","31949.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","104","Myanmar","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","54045.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","608","Philippines","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","108116.62","X","Figure from international organizations"
"FBS","Food Balances (2010-)","764","Thailand","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","69625.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","626","Timor-Leste","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1293.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","704","Viet Nam","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","96462.11","X","Figure from international organizations"
